@relation 'dr-weka.filters.unsupervised.attribute.Remove-V-R2-4,6,8,11-12,18,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.Resample-S1-Z50.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.5065-0.5043-0.52-0.4817+0.06617... numeric
@attribute -0.69210-0.68311+0.18117+0.1157-0.071... numeric
@attribute -0.7931+0.57917+0.16211+0.06210+0.0482... numeric
@attribute '0.79 17+0.6  1+0.09510+0.05 2+0.0463...' numeric
@attribute Class {0,1}

@data
-2.230254,-1.80201,-0.214874,0.013549,1
1.434306,-1.622191,-0.38882,-0.291398,0
-1.980024,0.240753,-1.253976,-1.177241,1
-3.140449,0.22905,0.847246,1.560414,0
-2.198552,0.31865,-0.496282,-0.179378,1
2.201985,0.502461,-0.778077,-0.538802,0
-1.40462,0.773773,0.131489,0.696848,0
2.066844,-1.637795,-0.690754,-0.596824,0
2.907437,0.647831,-0.62997,-0.327101,0
-1.366265,-0.975333,0.883125,1.386011,1
0.602058,0.905292,-0.277176,0.147878,1
1.252282,-1.568266,-0.689552,-0.565773,1
-0.370472,0.853573,-0.65553,-0.348807,1
0.301759,-0.865896,-0.644743,-0.493657,0
2.127629,0.410759,4.228034,-0.702598,1
1.77033,0.199874,-0.927071,-0.756696,1
1.974611,0.348212,-1.384336,-1.367698,1
2.525218,-0.286727,-1.144939,-1.08926,1
1.252282,-1.568266,-0.689552,-0.565773,1
2.99528,0.824573,0.130375,0.710429,0
-1.883907,0.33294,-1.269144,-1.201733,1
-2.449774,1.224985,0.599798,1.339213,1
3.089958,0.046164,1.743882,2.842335,0
-0.57041,-2.405809,0.119082,0.1836,0
0.051926,0.365746,-0.121691,0.304337,0
-0.275449,0.361821,-0.75268,-0.517405,1
2.907437,0.647831,-0.62997,-0.327101,0
-1.59444,1.126329,0.347294,1.001147,1
-0.286213,0.763569,0.576373,1.303193,0
1.141326,0.680252,-0.683014,-0.414297,1
2.957729,-1.106974,0.006049,0.469664,0
2.654149,0.411145,-0.000671,0.527942,0
-1.823435,0.800644,0.460319,1.145974,1
2.233562,0.961167,-0.011924,0.514272,1
0.361779,0.967722,0.081888,0.642117,1
-0.893961,0.564495,-1.016418,-0.854186,0
1.814901,0.486253,2.479817,-2.971003,1
-3.42179,0.542107,-0.809198,-0.610811,1
-2.803176,0.412306,-1.031472,-0.892537,0
-0.048998,-0.092457,-0.168816,0.219802,0
1.977236,-0.384553,-0.150152,0.213392,1
-2.21933,-0.719809,-0.593745,-0.527505,1
-1.46317,0.47084,0.1074,0.658392,0
-1.625307,0.818964,-1.005787,-0.815278,1
-0.426689,0.879623,0.232316,0.834555,1
0.379875,-1.02464,-0.571919,-0.35228,0
-0.522728,-0.265222,-0.474551,-0.168824,0
0.937811,0.286443,-1.1709,-1.095239,0
2.118744,0.805281,-0.125354,0.351561,1
2.432197,0.913991,0.241745,0.855083,0
-1.804156,0.869459,-0.035583,0.468972,0
1.814901,0.486253,2.479817,-2.971003,1
-2.561437,0.940287,-0.055142,0.434617,1
2.230707,0.473069,-0.85454,-0.631376,1
-3.582734,0.542616,-0.650982,-0.377487,1
2.105699,0.274555,-0.573573,-0.288288,0
-0.252343,0.750518,-0.875924,-0.66098,0
-2.755172,0.948551,-0.680287,-0.38016,1
2.71642,0.918825,0.127105,0.694794,1
2.777008,0.955212,0.806771,1.62796,0
2.667609,0.755781,-0.094812,0.386342,0
1.794173,-0.070376,-0.794389,-0.64817,0
-0.563337,1.074335,0.516241,1.238509,0
1.250703,0.773248,-0.169082,0.278739,1
2.231722,0.44738,-0.182718,0.259072,0
0.465904,0.274505,-0.039814,0.416457,1
2.525218,-0.286727,-1.144939,-1.08926,1
-3.129473,0.904638,0.262046,0.860259,1
2.424874,0.667904,-0.740388,-0.484447,0
2.000971,-0.010427,-0.55256,-0.283617,0
2.000971,-0.010427,-0.55256,-0.283617,0
-1.282583,-1.191803,-0.148241,0.073349,0
-0.03271,0.93448,-0.410731,-0.021959,0
-0.286213,0.763569,0.576373,1.303193,0
-2.036677,0.523511,-0.839685,-0.63959,1
-1.204742,-1.949348,0.543076,1.102469,0
0.727818,-1.342847,-0.408496,-0.187069,1
1.88161,-0.129235,-0.495942,-0.19023,1
0.963815,0.729369,-0.91827,-0.718541,0
1.271981,-3.787815,-0.625667,-0.698398,0
-3.631332,-1.291072,0.121058,0.264904,1
0.242718,-0.121924,-0.28786,0.070301,0
1.106289,-2.439214,-0.240679,-0.151054,0
2.793427,0.608565,-0.722963,-0.463877,0
2.797589,0.68512,1.57376,2.682041,0
-1.624315,0.278935,-1.857245,-2.003714,1
0.725397,1.20783,0.808266,1.6288,1
-4.164469,0.854178,-0.018885,0.461814,1
-0.610526,0.846564,-0.908943,-0.690274,0
2.371427,0.753501,-0.689701,-0.406346,1
-1.375114,-0.695432,-0.753942,-0.636815,0
0.449804,-1.036215,-0.173466,0.178489,1
1.14956,-0.371047,0.094466,0.494812,1
-0.654356,-2.530189,0.34982,0.621011,0
-2.830089,0.790062,-0.862762,-0.648244,1
0.95135,0.554629,-0.287822,0.097026,1
0.362377,0.840402,-0.571983,-0.249953,1
-1.971409,-0.420803,-0.21172,0.101751,0
1.358103,1.04853,0.527534,1.24944,1
1.144818,-1.21314,-0.685235,-0.465064,0
-1.180106,0.590311,-0.511996,-0.170888,0
2.105699,0.274555,-0.573573,-0.288288,0
1.084122,-0.704284,-0.631881,-0.479429,1
-2.164784,0.428224,-0.390112,-0.044026,1
-1.804156,0.869459,-0.035583,0.468972,0
0.87124,-0.853353,-0.259715,0.024432,1
-2.948768,0.820185,-0.004861,0.514951,0
-1.230677,1.206834,3.779087,-1.194406,1
-1.024433,0.846943,-0.586094,-0.269899,0
-2.266851,-0.545785,0.078952,0.496567,0
-4.304885,0.909292,-0.566012,-0.227909,1
-1.375114,-0.695432,-0.753942,-0.636815,0
-1.364842,0.725724,-0.700004,-0.430557,1
-2.322027,0.222999,-0.604211,-0.341465,1
1.176692,1.136442,0.407667,1.091421,0
-2.212874,0.771233,-0.180782,0.290731,0
1.88161,-0.129235,-0.495942,-0.19023,1
0.258792,0.933386,-0.129384,0.360391,1
1.184537,0.511036,-0.521796,-0.196241,0
-4.140592,0.767095,-0.70687,-0.451696,1
-2.974643,-1.348461,-0.756678,-0.738435,1
2.042453,-0.244749,-0.543758,-0.299037,1
-0.757319,-0.65305,-0.595994,-0.41236,1
-0.849335,0.647759,-0.0194,0.479496,0
-1.197448,0.931601,-0.430141,-0.056739,0
-1.249489,0.21047,0.156645,0.698157,1
0.229918,-4.746587,0.442542,0.108042,1
2.388164,1.072743,0.392086,1.061971,0
1.831896,-1.180557,0.086673,0.487938,0
0.36952,0.918615,0.050952,0.600181,0
1.243296,1.239969,0.807564,1.632091,1
-3.676661,-0.469871,-0.140065,0.08421,1
1.999793,0.379566,-0.763103,-0.520921,1
-3.349295,-0.460489,-0.263021,0.0633,1
2.186788,-0.469772,-0.020968,0.445213,1
2.494849,0.6314,3.469055,-1.613145,1
2.127983,0.180409,-0.422951,-0.076139,0
-2.803176,0.412306,-1.031472,-0.892537,0
1.954072,0.024805,-0.3601,0.030044,0
2.916783,0.074986,0.118799,0.66108,0
2.001101,-0.773078,-0.461742,-0.261111,0
1.799215,-0.692395,-0.772624,-0.598904,0
2.071159,-0.904475,-0.014791,0.34613,1
-1.967888,-2.402651,-0.505235,-0.354341,0
2.545236,0.30662,0.161037,0.731846,1
-1.375114,-0.695432,-0.753942,-0.636815,0
3.072087,0.618925,-0.064781,0.446234,0
1.141274,-0.967093,0.407232,0.944404,0
2.295543,-2.437099,0.173201,0.475945,0
-2.521518,0.842931,-0.884551,-0.643383,0
-1.196582,1.082631,0.241744,0.877066,0
-0.963931,0.892836,-0.568805,-0.234577,0
-0.624281,0.674543,-0.829616,-0.602744,0
1.346855,0.497788,-0.968052,-0.782847,1
-4.203241,0.542871,0.128357,0.629665,1
-1.451776,-0.095884,-0.761465,-0.614427,1
-1.364842,0.725724,-0.700004,-0.430557,1
-3.045648,1.281616,0.994556,1.876731,1
-3.905171,0.780217,-0.114673,0.329348,1
2.837898,-0.311654,-0.27792,0.135108,1
2.214598,-0.030923,-0.266006,0.159795,1
-1.596175,-0.876996,0.773958,1.32629,0
2.067769,-0.114118,-0.108427,0.304323,1
-1.617942,1.053981,-0.155707,0.323827,1
1.456683,-4.034023,0.729546,1.130479,1
-2.043504,1.132216,2.687169,-2.662504,1
1.969939,0.695428,-0.075407,0.414082,0
-1.670356,0.585726,-0.101584,0.390677,1
-2.172811,1.026798,2.727005,-2.628716,1
-2.338073,1.200214,0.477473,1.172686,1
-3.007567,0.649756,-0.72508,-0.477555,1
-1.00643,1.2176,0.677758,1.45372,0
1.322421,-0.262516,0.104424,0.634463,0
2.381073,0.631754,-0.856649,-0.639341,0
-0.917332,0.915754,-0.387581,-0.00209,1
-3.798769,1.454638,3.490859,-1.565559,1
-2.330022,0.482784,-1.049421,-0.902393,1
2.045429,0.532392,-0.894871,-0.70081,0
1.9549,-2.444877,-0.348502,-0.057607,1
2.697559,-0.337068,-0.661263,-0.454239,0
-1.305878,-0.954384,0.27082,0.629717,0
2.083836,-0.096378,-0.307292,0.075352,0
1.391526,-0.559663,-1.097418,-1.024738,1
0.903587,0.811121,-0.060523,0.434513,1
1.301523,-8.45904,0.321758,0.100886,1
-0.472611,-1.967087,0.360001,0.736402,1
2.351658,0.144314,-0.626824,-0.342626,1
2.05081,-0.261117,-0.154145,0.282568,0
1.937561,0.325505,-1.154738,-1.048343,0
1.252282,-1.568266,-0.689552,-0.565773,1
-3.7059,0.629148,1.495836,2.48013,1
-1.615532,-3.21261,1.460623,1.824603,1
1.180807,0.063557,-0.837224,-0.628314,0
1.877582,0.921026,0.071937,0.626056,0
1.77033,0.199874,-0.927071,-0.756696,1
-2.273712,1.014155,-0.632913,-0.302755,1
1.479199,-0.858791,-0.377147,-0.154132,1
-2.859805,0.787869,2.923524,-2.417409,1
-3.002798,0.44709,0.331309,0.923349,1
-0.409121,0.593811,-0.449921,-0.099555,1
1.886592,-0.337026,-1.02184,-0.917343,0
-2.459401,0.898116,-0.88709,-0.656116,0
2.165745,-0.157466,-0.19711,0.23287,0
0.083037,1.197285,0.532999,1.263129,1
0.066313,0.296017,-0.212668,0.160521,1
-1.282583,-1.191803,-0.148241,0.073349,0
-0.849335,0.647759,-0.0194,0.479496,0
1.221686,-0.333936,-0.34107,-0.010627,0
-1.656007,0.81942,-0.504005,-0.164491,1
-3.085635,-1.474841,0.261046,0.457537,1
2.250239,0.218476,-0.076015,0.386446,1
2.84778,0.54008,-0.798749,-0.573034,0
3.088444,0.331618,-0.304487,0.09028,0
-2.173578,-0.54533,-0.421897,-0.197514,1
1.084122,-0.704284,-0.631881,-0.479429,1
-3.444501,-0.393298,-0.636586,-0.458925,1
2.408537,-0.714009,0.106017,0.579892,1
-1.599435,-0.068191,-0.484918,-0.191245,0
-2.945347,0.956105,-0.901384,-0.663607,0
-0.457099,1.135121,0.754784,1.554565,0
-2.864267,-0.596509,-0.232393,0.080491,1
-1.529194,-0.76134,-0.620154,-0.417276,0
1.547406,0.373516,-0.683331,-0.401531,0
0.749081,0.773823,-0.338632,0.060978,1
0.051926,0.365746,-0.121691,0.304337,0
-2.945347,0.956105,-0.901384,-0.663607,0
0.347257,-0.151044,-0.979062,-0.85641,1
1.989782,0.714394,-0.760136,-0.507158,1
-0.556235,0.844109,-0.297847,0.117112,0
1.236546,-1.777418,-0.794502,-0.775119,0
0.178269,-0.044093,1.054783,1.810886,0
-2.603938,1.042877,-0.66111,-0.33674,0
-4.140592,0.767095,-0.70687,-0.451696,1
0.450808,0.32045,0.842015,1.652889,1
-1.217006,-2.333472,-0.436898,-0.489325,0
2.186788,-0.469772,-0.020968,0.445213,1
-3.473311,0.944478,-1.084365,-0.910102,1
-1.59444,1.126329,0.347294,1.001147,1
-0.316502,-1.147071,-0.300385,-0.132709,1
2.300213,-0.782952,-0.231143,0.134898,0
-2.429724,-0.974855,-0.202348,0.050925,1
2.791267,0.034616,-0.555495,-0.289007,0
0.824282,-1.876117,0.214793,0.594679,0
1.003158,0.798144,-0.455374,-0.097718,0
-2.428986,-1.129209,-0.636123,-0.514457,0
-0.563337,1.074335,0.516241,1.238509,0
1.918188,0.186528,-1.445318,-1.464142,0
1.618426,0.612439,-1.102653,-0.974763,1
-2.772868,0.437893,-0.40193,-0.062719,0
-1.012567,-0.116977,-0.10027,0.337094,1
-1.615532,-3.21261,1.460623,1.824603,1
-0.507034,0.899055,-0.465242,-0.09114,0
-1.108189,-2.299268,0.937051,1.413403,0
-2.394246,0.447551,-1.143859,-1.035075,1
0.099529,0.908935,0.608144,1.333573,1
-1.437677,1.118674,-0.072137,0.452304,1
-2.350844,0.720571,-0.021951,0.477309,1
-4.028549,0.745948,-0.805477,-0.57264,0
1.584884,-1.379508,0.288307,0.736285,1
0.275347,0.467061,-0.258997,0.112592,0
-4.304885,0.909292,-0.566012,-0.227909,1
-1.249489,0.21047,0.156645,0.698157,1
1.778799,1.455845,1.600369,2.708494,1
-0.159665,-0.291796,-0.619382,-0.40109,0
-2.330022,0.482784,-1.049421,-0.902393,1
1.615405,0.515338,-1.160886,-1.070684,1
0.939466,-0.13018,-0.663249,-0.444406,1
3.088444,0.331618,-0.304487,0.09028,0
2.474032,0.022782,-0.517389,-0.209418,0
-3.908376,0.483026,-0.784932,-0.570481,1
-1.764677,0.811998,-1.00884,-0.82881,0
2.049668,-0.055142,-0.779226,-0.607139,1
1.504508,0.882357,0.727879,1.509054,0
2.763352,0.802973,-0.098368,0.390839,1
1.519352,0.287582,-1.098735,-0.980232,1
-1.624315,0.278935,-1.857245,-2.003714,1
-1.273891,0.596606,-0.056058,0.46338,0
-1.106028,0.162528,-0.475193,-0.178286,0
-1.282158,1.163965,2.765116,-2.537164,1
2.382645,0.495612,-0.928446,-0.737528,0
1.221686,-0.333936,-0.34107,-0.010627,0
2.011595,0.993966,0.071763,0.627487,0
1.831896,-1.180557,0.086673,0.487938,0
0.932747,1.343111,3.443913,-1.616515,1
0.362377,0.840402,-0.571983,-0.249953,1
2.336453,-0.600167,-0.693766,-0.622063,1
-3.957378,-0.061158,-0.586715,-0.341607,1
-1.347047,0.75437,-1.033605,-0.866888,1
0.696249,1.361915,3.342477,-1.752613,0
-2.375139,0.996016,-0.639897,-0.310531,1
2.499251,0.786416,-0.078114,0.414206,0
2.696604,0.55034,-0.428122,-0.065424,0
2.191692,0.860795,3.229728,-1.916596,1
2.651156,0.653231,-0.56298,-0.243063,1
1.879695,-0.551424,-0.163901,0.19858,1
0.931045,-0.682973,0.248556,0.761205,1
-0.902728,-6.468017,1.388332,1.568134,1
-1.058417,-9.67682,0.513666,-0.40036,1
-0.621028,-2.481329,0.007488,0.188236,1
-0.844092,-0.224817,-0.519161,-0.281189,1
-1.248634,1.219726,0.820023,1.640631,0
0.099529,0.908935,0.608144,1.333573,1
-0.89847,0.746471,-0.211772,0.235273,1
-1.600483,-1.841462,0.218441,0.5238,0
-1.487491,0.930756,-0.622285,-0.295067,0
-0.160697,-0.307256,-0.104994,0.268574,1
-0.590601,0.851708,2.765042,-2.586155,1
3.074687,0.601997,-0.310007,0.109421,0
-0.997576,-2.167195,1.082532,1.436792,1
-2.76047,-1.83755,0.443888,0.682403,1
-0.840602,0.373414,-0.697899,-0.423457,1
-3.247331,-0.057665,-0.382335,-0.110376,1
-2.459401,0.898116,-0.88709,-0.656116,0
-3.577518,-1.679409,0.748944,1.244979,1
-0.849335,0.647759,-0.0194,0.479496,0
-2.546644,1.078984,0.353473,0.987514,1
-0.275901,-3.464959,-0.609774,-0.611925,1
1.760616,1.112254,0.555747,1.286239,0
-1.066945,0.067266,-0.341027,-0.055296,0
1.677566,0.314455,-0.090578,0.376952,1
0.504278,0.83859,-0.467023,-0.100908,0
1.843247,0.25421,-0.818119,-0.5982,0
1.807314,-3.411756,0.073253,0.345568,1
-2.036677,0.523511,-0.839685,-0.63959,1
1.084122,-0.704284,-0.631881,-0.479429,1
-2.340526,0.506312,0.665482,1.356757,0
-0.203843,0.352336,-0.03932,0.455969,1
-3.572592,1.178852,0.618715,1.338463,1
-0.594543,0.830932,-0.601027,-0.27579,0
-0.66057,-0.620092,-0.298337,0.045463,1
-0.559776,0.725602,-0.161547,0.295589,1
1.176692,1.136442,0.407667,1.091421,0
-0.757319,-0.65305,-0.595994,-0.41236,1
-2.335322,0.965015,0.173063,0.76052,1
-0.115373,0.580135,-0.589602,-0.276911,0
1.658222,-1.097782,0.288105,0.744247,0
-1.802486,0.212466,-0.541125,-0.265037,0
1.87679,-0.305129,-0.100011,0.265713,0
-1.366265,-0.975333,0.883125,1.386011,1
1.896526,-0.861842,-0.611937,-0.431243,1
2.387471,0.261355,2.211736,-3.349006,1
1.911458,0.078811,3.549468,-1.510998,1
-0.495044,0.866814,-0.338983,0.065838,1
-0.483057,0.882242,-0.530733,-0.192646,1
2.358524,0.34494,-0.013039,0.460286,1
-2.428986,-1.129209,-0.636123,-0.514457,0
2.997465,0.832556,-0.030572,0.486992,0
-1.624315,0.278935,-1.857245,-2.003714,1
0.515754,-1.551234,-0.048241,0.11474,1
-0.562596,0.759749,-0.970986,-0.786613,0
1.191235,1.417975,3.779019,-1.164459,0
-1.461735,1.22599,2.978329,-2.254564,0
0.083037,1.197285,0.532999,1.263129,1
2.567896,0.121978,-0.906995,-0.748083,1
-3.007567,0.649756,-0.72508,-0.477555,1
-0.86463,1.140992,0.297812,0.943791,0
-1.197448,0.931601,-0.430141,-0.056739,0
0.676541,0.725081,3.030944,-2.243763,1
0.227188,1.097253,0.277589,0.916766,0
2.105209,-0.703096,-1.030767,-0.973511,0
-0.086804,-0.176597,-0.904271,-0.787502,1
-1.467945,0.770945,4.448606,-0.385283,1
0.806504,-4.620865,3.027539,-3.133221,1
1.144818,-1.21314,-0.685235,-0.465064,0
2.99528,0.824573,0.130375,0.710429,0
-0.86463,1.140992,0.297812,0.943791,0
-0.057849,1.33388,3.391959,-1.695276,1
-0.754169,-0.302651,-0.557709,-0.346788,0
-1.226865,-0.290434,3.975491,-1.124937,0
2.014387,-0.399719,-0.002115,0.390679,0
0.727818,-1.342847,-0.408496,-0.187069,1
-2.330022,0.482784,-1.049421,-0.902393,1
0.74527,0.453844,-0.726066,-0.491926,0
1.262214,0.949276,-0.099187,0.394749,0
0.58446,0.881382,-0.23867,0.196835,1
0.996944,1.335127,3.800387,-1.134226,1
2.634402,0.911648,0.32997,0.980166,1
0.963815,0.729369,-0.91827,-0.718541,0
1.92598,-3.241045,0.656567,0.967404,1
1.574096,1.178003,0.612234,1.365947,0
0.58446,0.881382,-0.23867,0.196835,1
2.012965,0.469632,-0.909026,-0.729324,0
-1.343006,1.110433,2.773661,-2.536153,1
-0.498986,-0.087914,-0.365971,-0.043949,1
2.215819,-0.793878,0.297222,0.878142,1
2.362003,0.791472,-0.021843,0.498619,0
-2.010155,1.098983,0.203628,0.796367,1
1.680631,0.619851,-0.719654,-0.452092,0
0.749081,0.773823,-0.338632,0.060978,1
-2.817569,0.016367,0.100234,0.596863,1
0.396381,-2.510517,-0.015239,0.211008,1
1.678884,0.211227,-0.664148,-0.421596,1
-0.791887,-2.269596,0.673129,1.011162,0
1.615405,0.515338,-1.160886,-1.070684,1
-2.45928,0.882324,0.348483,1.007125,1
2.979225,1.459291,1.673642,2.80975,0
0.975352,0.384468,-0.262863,0.154026,1
-4.366089,0.428608,-0.203253,0.205027,0
1.873084,-0.189499,-0.325265,0.009008,0
1.251868,0.304993,-0.725581,-0.478737,0
-3.349295,-0.460489,-0.263021,0.0633,1
-0.108952,-3.525623,-0.288809,-0.089536,1
2.981329,0.699565,-0.519882,-0.183344,1
-3.13797,0.472068,-1.087266,-0.96373,0
-2.079815,-6.760089,0.651228,0.472899,1
-1.344241,0.611005,-0.637629,-0.366037,0
-1.507774,0.970394,-0.385679,0.022521,0
2.16997,0.679155,-0.696898,-0.423393,0
-0.457368,0.927948,-0.081912,0.401966,1
-3.939825,-1.588488,0.776614,1.080725,1
-2.147857,0.147446,0.330334,0.899957,0
-0.893961,0.564495,-1.016418,-0.854186,0
2.937658,-1.765822,-0.213301,-0.03835,0
1.119344,-0.890585,-0.112485,0.190873,0
-1.405222,-1.33828,3.140409,-2.382712,0
-1.663797,0.249731,0.384827,0.942546,0
0.806504,-4.620865,3.027539,-3.133221,1
-2.173578,-0.54533,-0.421897,-0.197514,1
2.077329,0.474089,-0.212676,0.213233,0
-3.655065,-0.752151,-0.422239,-0.264218,1
-0.410061,0.554722,0.236877,0.804706,0
-0.108952,-3.525623,-0.288809,-0.089536,1
-0.582042,-0.00746,-0.635629,-0.370255,1
2.132597,-0.263235,-0.357839,0.021984,0
1.149353,-0.573161,3.365707,-2.059424,1
-2.546644,1.078984,0.353473,0.987514,1
0.224598,-2.297301,-0.407503,-0.317343,1
2.425723,0.633514,-0.377989,0.012754,0
-4.596065,1.170662,2.529782,-2.866218,1
-0.565063,1.159807,0.035455,0.600744,0
1.218098,0.604929,-0.947031,-0.768152,1
0.87124,-0.853353,-0.259715,0.024432,1
-0.654356,-2.530189,0.34982,0.621011,0
1.367361,0.940585,-0.173744,0.293828,1
2.368224,0.395132,-0.368536,-0.037751,1
-4.610314,0.842568,-0.399589,0.023209,1
2.847259,0.031919,-0.459276,-0.132756,0
-2.173578,-0.54533,-0.421897,-0.197514,1
-3.984179,-0.348484,0.118782,0.492961,1
-1.113182,0.313053,0.238213,0.815952,0
-1.28669,0.505226,0.450362,1.04539,1
-2.21933,-0.719809,-0.593745,-0.527505,1
1.504508,0.882357,0.727879,1.509054,0
-0.410061,0.554722,0.236877,0.804706,0
0.362377,0.840402,-0.571983,-0.249953,1
-1.663797,0.249731,0.384827,0.942546,0
2.979225,1.459291,1.673642,2.80975,0
2.616516,0.23752,3.201359,-2.014301,0
-4.028549,0.745948,-0.805477,-0.57264,0
1.814268,-0.906755,-0.577784,-0.401943,0
3.073846,0.688682,-0.261186,0.162652,1
2.233208,0.204602,-0.966281,-0.802501,0
2.052354,-0.636033,-1.228485,-1.225633,1
-0.713442,0.839001,2.555562,-2.879511,1
-0.761218,-3.413695,0.278308,0.436185,1
3.199217,0.846497,3.196837,-1.951626,0
1.236546,-1.777418,-0.794502,-0.775119,0
-2.512935,0.920978,-0.487166,-0.13856,1
1.844466,-0.755243,-0.797902,-0.642289,1
2.542212,0.768918,0.359183,1.010944,1
-0.762956,0.85617,-0.587827,-0.267143,1
-0.424468,1.050342,0.497062,1.202085,1
1.243296,1.239969,0.807564,1.632091,1
1.879695,-0.551424,-0.163901,0.19858,1
-0.469459,1.165262,0.253668,0.893615,0
2.634402,0.911648,0.32997,0.980166,1
-1.45396,0.211947,-0.14063,0.234065,1
-0.791887,-2.269596,0.673129,1.011162,0
0.811447,-0.658288,0.600008,1.116011,1
2.438016,-0.771687,-0.351819,-0.042797,0
-2.9797,-3.652274,1.053011,1.349879,1
-1.461735,1.22599,2.978329,-2.254564,0
0.811447,-0.658288,0.600008,1.116011,1
2.468782,0.762173,0.10521,0.66199,0
0.975352,0.384468,-0.262863,0.154026,1
-1.925827,0.607884,-0.554048,-0.234575,1
0.293891,-0.466582,-0.480343,-0.196053,0
-0.598164,0.840343,-0.218126,0.228874,0
-3.13932,-4.366818,0.996467,1.174506,1
0.750196,1.622943,2.275509,3.622166,0
-1.238912,0.74009,-0.963758,-0.778742,0
-2.198552,0.31865,-0.496282,-0.179378,1
2.997465,0.832556,-0.030572,0.486992,0
0.58446,0.881382,-0.23867,0.196835,1
2.132597,-0.263235,-0.357839,0.021984,0
2.070381,0.067376,-0.996704,-0.924267,1
2.099464,0.254013,-0.668821,-0.424841,0
-2.375139,0.996016,-0.639897,-0.310531,1
-1.106028,0.162528,-0.475193,-0.178286,0
-0.001455,1.004418,0.292196,0.916664,0
-0.028974,0.888764,0.138593,0.71469,0
-0.924641,1.021123,-0.259842,0.192804,1
-2.84528,0.800323,-0.175598,0.242963,1
-2.21933,-0.719809,-0.593745,-0.527505,1
2.423928,-1.482836,-0.120059,0.157937,0
1.191235,1.417975,3.779019,-1.164459,0
2.797589,0.68512,1.57376,2.682041,0
-0.816049,0.870863,0.266959,0.875056,1
1.97377,0.376347,0.047525,0.575948,0
-1.113182,0.313053,0.238213,0.815952,0
2.127983,0.180409,-0.422951,-0.076139,0
0.155979,-4.244818,0.674975,0.960584,1
0.36952,0.918615,0.050952,0.600181,0
-1.239218,1.315522,0.93932,1.802852,1
0.756993,0.529555,-0.783687,-0.569391,1
-2.230254,-1.80201,-0.214874,0.013549,1
-0.211233,0.794551,0.174136,0.723466,1
1.658222,-1.097782,0.288105,0.744247,0
0.225866,-1.298176,0.672073,1.146678,0
-1.058417,-9.67682,0.513666,-0.40036,1
-2.350844,0.720571,-0.021951,0.477309,1
2.595199,0.563594,0.513359,1.222731,1
2.797589,0.68512,1.57376,2.682041,0
-0.165783,0.868401,-0.522029,-0.183732,1
-0.007353,0.719031,0.119473,0.703749,0
